ID,date,county,state,fips,cases,deaths
45,3/23/20,Unknown,Hawaii,,5,0
46,3/24/20,Hawaii,Hawaii,15001,5,0
47,3/24/20,Honolulu,Hawaii,15003,58,0
48,3/24/20,Kauai,Hawaii,15007,3,0
49,3/24/20,Maui,Hawaii,15009,11,0
50,3/24/20,Unknown,Hawaii,,20,0
51,3/25/20,Hawaii,Hawaii,15001,5,0
52,3/25/20,Honolulu,Hawaii,15003,68,0
53,3/25/20,Kauai,Hawaii,15007,5,0
54,3/25/20,Maui,Hawaii,15009,13,0
55,3/25/20,Unknown,Hawaii,,5,0
56,3/26/20,Hawaii,Hawaii,15001,5,0
57,3/26/20,Honolulu,Hawaii,15003,77,0
58,3/26/20,Kauai,Hawaii,15007,5,0
59,3/26/20,Maui,Hawaii,15009,14,0
60,3/26/20,Unknown,Hawaii,,5,0
61,3/27/20,Hawaii,Hawaii,15001,7,0
62,3/27/20,Honolulu,Hawaii,15003,87,0
63,3/27/20,Kauai,Hawaii,15007,5,0
64,3/27/20,Maui,Hawaii,15009,16,0
65,3/27/20,Unknown,Hawaii,,5,0
66,3/28/20,Hawaii,Hawaii,15001,10,0
67,3/28/20,Honolulu,Hawaii,15003,108,0
68,3/28/20,Kauai,Hawaii,15007,11,0
69,3/28/20,Maui,Hawaii,15009,16,0
70,3/28/20,Unknown,Hawaii,,5,0
71,3/29/20,Hawaii,Hawaii,15001,12,0
72,3/29/20,Honolulu,Hawaii,15003,119,0
73,3/29/20,Kauai,Hawaii,15007,12,0
74,3/29/20,Maui,Hawaii,15009,20,0
75,3/29/20,Unknown,Hawaii,,10,0
76,3/30/20,Hawaii,Hawaii,15001,15,0
77,3/30/20,Honolulu,Hawaii,15003,139,0
78,3/30/20,Kauai,Hawaii,15007,12,0
79,3/30/20,Maui,Hawaii,15009,25,0
80,3/30/20,Unknown,Hawaii,,8,0
81,3/31/20,Hawaii,Hawaii,15001,15,0
82,3/31/20,Honolulu,Hawaii,15003,157,1
83,3/31/20,Kauai,Hawaii,15007,12,0
84,3/31/20,Maui,Hawaii,15009,25,0
85,3/31/20,Unknown,Hawaii,,15,0
86,4/1/20,Hawaii,Hawaii,15001,18,0
87,4/1/20,Honolulu,Hawaii,15003,182,1
88,4/1/20,Kauai,Hawaii,15007,12,0
89,4/1/20,Maui,Hawaii,15009,26,0
90,4/1/20,Unknown,Hawaii,,18,0
91,4/2/20,Hawaii,Hawaii,15001,18,0
92,4/2/20,Honolulu,Hawaii,15003,206,2
93,4/2/20,Kauai,Hawaii,15007,12,0
94,4/2/20,Maui,Hawaii,15009,27,0
95,4/2/20,Unknown,Hawaii,,20,0
96,4/3/20,Hawaii,Hawaii,15001,20,0
97,4/3/20,Honolulu,Hawaii,15003,237,2
98,4/3/20,Kauai,Hawaii,15007,13,0
99,4/3/20,Maui,Hawaii,15009,36,0
100,4/3/20,Unknown,Hawaii,,11,1
101,4/4/20,Hawaii,Hawaii,15001,22,0
102,4/4/20,Honolulu,Hawaii,15003,266,2
103,4/4/20,Kauai,Hawaii,15007,15,0
104,4/4/20,Maui,Hawaii,15009,38,0
105,4/4/20,Unknown,Hawaii,,8,1
106,4/5/20,Hawaii,Hawaii,15001,22,0
107,4/5/20,Honolulu,Hawaii,15003,281,2
108,4/5/20,Kauai,Hawaii,15007,16,0
109,4/5/20,Maui,Hawaii,15009,43,0
110,4/5/20,Unknown,Hawaii,,10,1
111,4/6/20,Hawaii,Hawaii,15001,23,0
112,4/6/20,Honolulu,Hawaii,15003,292,4
